,Norm of every face in the DB,Names
0,1.3917416713250712,Stefan
1,1.4117354275237421,Stefan
2,1.407344537426989,Stefan
3,1.4093208836116915,Stefan
4,1.3910007199358057,Stefan
5,1.412683895568168,Stefan
6,1.3818402346156835,Stefan
7,1.392504431355563,Stefan
8,1.4037250463308621,Stefan
9,1.370170831578502,Stefan
10,1.368704432183059,Stefan
11,1.3787204256617116,Stefan
12,1.4291152484139482,Stefan
13,1.372184611377583,Stefan
14,1.3725171703121732,Stefan
15,1.381387995497968,Stefan
16,1.4454425922894856,Stefan
17,1.4387208529157336,Stefan
18,1.3803799875023266,Stefan
19,1.432332369873638,Stefan
20,1.405575363261455,Stefan
21,1.3804185004747531,Stefan
22,1.4181181567134296,Stefan
23,1.3692520558890846,Stefan
24,1.4300454153597641,Stefan
25,1.4417513407513085,Stefan
26,1.3995079211463757,Stefan
27,1.4128378703202578,Stefan
28,1.3845114254156232,Stefan
29,1.3675484466454046,Stefan
30,1.3823878366902838,Stefan
31,1.4101172562719955,Stefan
32,1.433734539931935,Stefan
33,1.3486751607796728,Stefan
34,1.365491994557367,Stefan
35,1.4110842070894312,Stefan
36,1.438256810579036,Stefan
37,1.4250097810370599,Stefan
38,1.450610761513574,Stefan
39,1.3682319103690461,Stefan
40,1.3771282971490129,Stefan
41,1.3945562119287842,Stefan
42,1.4118332291782867,Stefan
43,1.4229618831038107,Stefan
44,1.4157440357248021,Stefan
45,1.3895562888715245,Stefan
46,1.4002734055623878,Stefan
47,1.4145182676106083,Stefan
48,1.4594201068264676,Stefan
49,1.4346854196354863,Stefan
50,1.4109796977185638,Stefan
51,1.3667414869655463,Stefan
52,1.3943017863542404,Stefan
53,1.4030483692221793,Stefan
54,1.3927360117586132,Stefan
55,1.371993646756893,Stefan
56,1.3863029916503877,Stefan
57,1.406195198896767,Stefan
58,1.401541688527636,Stefan
59,1.3831711255777674,Stefan
60,1.4069262158008493,Stefan
61,1.4053883464818016,Stefan
62,1.3735938778311625,Stefan
63,1.3936424047201024,Stefan
64,1.3958259487166622,Stefan
65,1.4134738550107884,Stefan
66,1.4118622619348706,Stefan
67,1.413357205416997,Stefan
68,1.374837767262433,Stefan
69,1.3789831930931986,Stefan
70,1.389063650009958,Stefan
71,1.4484225753664617,Stefan
72,1.3675130611905315,Stefan
73,1.365849031630122,Stefan
74,1.417803450259571,Stefan
75,1.385922029692834,Stefan
76,1.376676044629862,Stefan
77,1.3924663379600346,Stefan
78,1.3734162653216735,Stefan
79,1.4012981673434102,Stefan
